Date,TMAX,TMIN,PRCP
7/4/1900,74,43,0
7/4/1901,65,42,0
7/4/1902,50,46,2.1
7/4/1903,,49,0.1
7/4/1904,78,54,0
7/4/1905,,,
7/4/1906,98,62,0
7/4/1907,,,0
7/4/1908,72,52,0
7/4/1909,84,51,0
7/4/1910,76,49,0
7/4/1911,77,58,0
7/4/1912,,,
7/4/1913,75,51,0
7/4/1914,77,58,0.01
7/4/1915,86,58,0
7/4/1916,70,41,0
7/4/1917,75,57,0
7/4/1918,80,46,0
7/4/1919,93,55,0
7/4/1920,78,58,0
7/4/1921,76,56,0
7/4/1922,87,70,0
7/4/1923,71,47,0
7/4/1924,96,62,0
7/4/1925,83,57,0
7/4/1926,92,60,0
7/4/1927,66,50,0
7/4/1928,70,52,0.15
7/4/1929,77,55,0
7/4/1930,81,52,0
7/4/1931,82,43,0
7/4/1932,68,45,0
7/4/1933,74,50,0.01
7/4/1934,81,60,
7/4/1935,74,48,0
7/4/1936,78,51,0
7/4/1937,85,61,0
7/4/1938,66,51,0
7/4/1939,71,54,0.05
7/4/1940,85,60,0
7/4/1941,77,58,0.03
7/4/1942,82,66,0
7/4/1943,69,50,0
7/4/1944,80,52,0
7/4/1945,79,54,0
7/4/1946,78,46,0
7/4/1947,76,46,0
7/4/1948,74,52,0
7/4/1949,83,56,0
7/4/1950,,,0
7/4/1951,,,0.39
7/4/1952,80,55,0
7/4/1953,77,40,0
7/4/1954,79,43,0
7/4/1955,69,43,0
7/4/1956,76,44,0.01
7/4/1957,82,47,0
7/4/1958,81,41,0
7/4/1959,73,41,0
7/4/1960,83,43,0
7/4/1961,84,62,0
7/4/1962,66,41,0.01
7/4/1963,79,57,0
7/4/1964,73,40,0.18
7/4/1965,79,54,0
7/4/1966,72,43,0
7/4/1967,87,54,0
7/4/1968,96,50,0
7/4/1969,69,49,0
7/4/1970,92,58,0
7/4/1971,73,44,0
7/4/1972,80,48,0
7/4/1973,86,60,0
7/4/1974,,,
7/4/1975,82,52,0
7/4/1976,81,53,0
7/4/1977,70,45,0
7/4/1978,62,50,0.4
7/4/1979,81,53,0
7/4/1980,71,49,0.04
7/4/1981,84,56,0
7/4/1982,65,46,0.01
7/4/1983,68,47,0
7/4/1984,79,50,0
7/4/1985,91,52,0
7/4/1986,69,45,0.18
7/4/1987,81,49,0
7/4/1988,71,40,0
7/4/1989,80,47,0
7/4/1990,69,42,0
7/4/1991,89,61,0
7/4/1992,78,54,0
7/4/1993,71,47,0.01
7/4/1994,71,41,0
7/4/1995,73,51,0.09
7/4/1996,86,60,0
7/4/1997,82,56,0
7/4/1998,76,51,0
7/4/1999,64,36,0.01
7/4/2000,65,44,0
7/4/2001,93,59,0
7/4/2002,65,44,0
7/4/2003,78,40,0
7/4/2004,76,49,0.01
7/4/2005,82,43,0
7/4/2006,93,59,0
7/4/2007,92,49,0
7/4/2008,78,63,0.01
7/4/2009,91,52,0
7/4/2010,69,38,0
7/4/2011,79,42,0
7/4/2012,71,38,0
7/4/2013,82,52,0
7/4/2014,80,50,0
7/4/2015,95,53,0
7/4/2016,73,46,0
7/4/2017,88,54,0
7/4/2018,80,47,0
