STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00456789,"PULLMAN 2 NW, WA US",1/1/1941,0,0,0,-1.7,-7.8,
USC00456789,"PULLMAN 2 NW, WA US",1/2/1941,0,0,0,-2.2,-9.4,
USC00456789,"PULLMAN 2 NW, WA US",1/3/1941,0,0,0,-2.2,-7.2,
USC00456789,"PULLMAN 2 NW, WA US",1/4/1941,2.5,0,0,-3.3,-7.2,
USC00456789,"PULLMAN 2 NW, WA US",1/5/1941,9.7,0,0,0.6,-7.8,
USC00456789,"PULLMAN 2 NW, WA US",1/6/1941,0,0,0,1.7,-6.7,
USC00456789,"PULLMAN 2 NW, WA US",1/7/1941,5.8,0,0,2.2,-5,
USC00456789,"PULLMAN 2 NW, WA US",1/8/1941,0,0,0,3.9,-2.2,
USC00456789,"PULLMAN 2 NW, WA US",1/9/1941,0,0,0,5,-1.7,
USC00456789,"PULLMAN 2 NW, WA US",1/10/1941,0,0,0,6.1,0.6,
USC00456789,"PULLMAN 2 NW, WA US",1/11/1941,0,0,0,1.7,-7.8,
USC00456789,"PULLMAN 2 NW, WA US",1/12/1941,0,0,0,4.4,-9.4,
USC00456789,"PULLMAN 2 NW, WA US",1/13/1941,0.3,0,0,5.6,-6.7,
USC00456789,"PULLMAN 2 NW, WA US",1/14/1941,0,0,0,1.1,0,
USC00456789,"PULLMAN 2 NW, WA US",1/15/1941,4.1,0,0,4.4,-6.7,
USC00456789,"PULLMAN 2 NW, WA US",1/16/1941,0,0,0,3.9,-5,
USC00456789,"PULLMAN 2 NW, WA US",1/17/1941,11.9,0,0,3.3,-0.6,
USC00456789,"PULLMAN 2 NW, WA US",1/18/1941,9.7,0,0,4.4,-0.6,
USC00456789,"PULLMAN 2 NW, WA US",1/19/1941,0.5,0,0,8.3,-0.6,
USC00456789,"PULLMAN 2 NW, WA US",1/20/1941,0,0,0,3.9,-1.7,
USC00456789,"PULLMAN 2 NW, WA US",1/21/1941,0,0,0,3.9,-1.1,
USC00456789,"PULLMAN 2 NW, WA US",1/22/1941,0,0,0,0,-1.1,
