DY,MAX,MIN,AVG,DEP,HDD,CDD,WTR,SNW,DPTH,SPD,SPD,DIR,MIN,PSBL,S-S,WX,SPD,DR
4/1/2019,61,38,50,7,15,0,0,M,M,6.3,12,30,M,M,0,15,90,
4/2/2019,64,38,51,7,14,0,0,M,M,7,15,100,M,M,2,19,90,
4/3/2019,58,46,52,8,13,0,0.18,M,M,9.3,22,270,M,M,8,18,27,270
4/4/2019,57,42,50,6,15,0,0.02,M,M,4.6,15,250,M,M,6,20,240,
4/5/2019,58,41,50,6,15,0,0.52,M,M,8.3,22,250,M,M,8,13,30,260
4/6/2019,50,36,43,-1,22,0,0.22,M,M,9.9,23,220,M,M,6,1,27,230
4/7/2019,54,43,49,5,16,0,0.45,M,M,11.3,25,250,M,M,10,1,35,240
4/8/2019,51,43,47,3,18,0,0.51,M,M,7.3,17,100,M,M,10,1,21,90
4/9/2019,46,40,43,-2,22,0,1.21,M,M,14,24,250,M,M,10,1,32,250
4/10/2019,51,36,44,-1,21,0,0.01,M,M,15.5,25,240,M,M,5,32,260,
4/11/2019,51,38,45,0,20,0,0.03,M,M,10.5,18,270,M,M,8,23,260,
4/12/2019,50,38,44,-1,21,0,0.01,M,M,3.4,12,230,M,M,9,16,240,
4/13/2019,51,40,46,1,19,0,0.26,M,M,9.7,26,250,M,M,9,1,34,250
4/14/2019,45,36,41,-5,24,0,0.01,M,M,14.2,24,240,M,M,7,29,240,
4/15/2019,52,31,42,-4,23,0,0,M,M,5.7,12,120,M,M,6,12,15,100
4/16/2019,53,40,47,1,18,0,0,M,M,8.5,16,230,M,M,8,21,260,
4/17/2019,58,43,51,5,14,0,0,M,M,11.8,23,240,M,M,6,29,260,
4/18/2019,68,42,55,9,10,0,0,M,M,5.5,15,100,M,M,3,18,210,
4/19/2019,71,51,61,14,4,0,0.06,M,M,7.9,20,290,M,M,9,1,24,280
4/20/2019,57,45,51,4,14,0,0.1,M,M,7,14,280,M,M,7,1,19,260
4/21/2019,60,41,51,4,14,0,0,M,M,7.4,16,280,M,M,0,20,280,
4/22/2019,65,38,52,5,13,0,0.01,M,M,5.8,16,230,M,M,2,22,230,
4/23/2019,65,52,59,11,6,0,0.01,M,M,13.9,22,240,M,M,8,28,230,
4/24/2019,60,39,50,2,15,0,0,M,M,8.4,18,240,M,M,2,27,240,
4/25/2019,65,39,52,4,13,0,0,M,M,3.4,12,90,M,M,0,16,90,
4/26/2019,61,44,53,5,12,0,0.06,M,M,8.9,23,250,M,M,5,1,31,260
4/27/2019,52,35,44,-5,21,0,0.01,M,M,16.7,32,280,M,M,4,42,280,
4/28/2019,50,33,42,-7,23,0,0,M,M,6.3,15,100,M,M,5,19,10,
4/29/2019,,,,,,,0,,,,,,,,,,,
4/30/2019,,,,,,,0,,,,,,,,,,,
